,name  address
CryptoLocker_4.0,"15sJ3pT7J6zefRs95SEsfBZMz8jAw1zAbh,"
CryptoLocker,"1HrEqMHQVWhKuCg7a3rxo2tAFAiKquJ5iP,"
CryptoLocker,"1EJbVfn5hXQ9JcfRyn965UKpNX4qxRW7pY,"
CryptoLocker,"14bgivtRtTjzwiS4rRECoKGXkSZbf1Co39,"
CryptoTorLocker2015,"1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,"
DMALocker,"1382JAg5xbQv7QNwq1svDeyw6ELtNCmujG,"
Bucbi,"1MfVk1utxgvGjMFV3K3CzXsDRDZznj5tey,"
CryptoHost,"18AVPLKGBamXtGpdT3kP2b5Dv3iBUDpjKv,"
7ev3n,"1Lud76Q98VRHCUiyK7XUs7AgFofrqXeP78,"
TeslaCrypt,"15Y2TmHrxjmRFxfNUttwb9aU4DifvDpWKM,"
TeslaCrypt,"1NRn15kJnVRrptTSQJJnMD9KJcWkVFh1Gv,"
ThunderCrypt,"14dqhE6XPoxkkttwwh7qTWmmSwXerWd2Ho,"
ThunderCrypt,"18yfx86BwNK5xYKw71uaHwAxPgCGRJaqgg,"
ThunderCrypt,"1HFY12o56xbHer3oeNxC99A7SGyXaR64hs,"
Trump_Locker,"1N82pq3XovKoJYqUmTrRiXftpNHZyu4jyv,"
Buddy,"1AoNMLZfhw7cbMCKAhaKHiveMdwFyVUGeA,"
Chimera,"1JHxr5sbXDoZuDsx624TmZ2MWyDdD9ag8K,"
CTB_Locker,"1Hf2vPmYNxzFYWiaURs75h8JoyCczLXCG2,"
CTB_Locker,"1E4jsfwFsKVaAVFNfrmGVgDY1HRU8qf7PV,"
Jigsaw,"15fbyNgDnqYQR5vSHJ8PTAEJbKy4dwNBCZ,"
